id,lang,type,code_raw,code_masked,masked
46,c#,expression_statement,"public static byte[] copyOfRange(byte[] original, int start, int end){if (start > end){throw new System.ArgumentException();}int originalLength = original.Length;if (start < 0 || start > originalLength){throw new System.IndexOutOfRangeException();}int resultLength = end - start;int copyLength = System.Math.Min(resultLength, originalLength - start);byte[] result = new byte[resultLength];System.Array.Copy(original, start, result, 0, copyLength);return result;}","public static byte[] copyOfRange(byte[] original, int start, int end){if (start > end){throw new System.ArgumentException();}int originalLength = original.Length;if (start < 0 || start > originalLength){throw new System.IndexOutOfRangeException();}int resultLength = end - start;int copyLength = System.Math.Min(resultLength, originalLength - start);byte[] result = new byte[resultLength];<MASKED>return result;}","System.Array.Copy(original, start, result, 0, copyLength);"
47,java,expression_statement,public ListTopicsRequest(String nextToken) {setNextToken(nextToken);},public ListTopicsRequest(String nextToken) {<MASKED>},setNextToken(nextToken);
48,c#,expression_statement,public ListTopicsRequest(string nextToken){_nextToken = nextToken;},public ListTopicsRequest(string nextToken){<MASKED>},_nextToken = nextToken;
49,java,expression_statement,"public void finish(FieldInfos fis, int numDocs) throws IOException {if (!pendingDocs.isEmpty()) {flush();numDirtyChunks++; }if (numDocs != this.numDocs) {throw new RuntimeException(""Wrote "" + this.numDocs + "" docs, finish called with numDocs="" + numDocs);}indexWriter.finish(numDocs, vectorsStream.getFilePointer());vectorsStream.writeVLong(numChunks);vectorsStream.writeVLong(numDirtyChunks);CodecUtil.writeFooter(vectorsStream);}","public void finish(FieldInfos fis, int numDocs) throws IOException {if (!pendingDocs.isEmpty()) {flush();<MASKED> }if (numDocs != this.numDocs) {throw new RuntimeException(""Wrote "" + this.numDocs + "" docs, finish called with numDocs="" + numDocs);}indexWriter.finish(numDocs, vectorsStream.getFilePointer());vectorsStream.writeVLong(numChunks);vectorsStream.writeVLong(numDirtyChunks);CodecUtil.writeFooter(vectorsStream);}",numDirtyChunks++;
50,c#,string_literal,"public override void Finish(FieldInfos fis, int numDocs){if (!(pendingDocs.Count == 0)){Flush();}if (numDocs != this.numDocs){throw new Exception(""Wrote "" + this.numDocs + "" docs, finish called with numDocs="" + numDocs);}indexWriter.Finish(numDocs, vectorsStream.GetFilePointer());CodecUtil.WriteFooter(vectorsStream);}","public override void Finish(FieldInfos fis, int numDocs){if (!(pendingDocs.Count == 0)){Flush();}if (numDocs != this.numDocs){throw new Exception(<MASKED> + this.numDocs + "" docs, finish called with numDocs="" + numDocs);}indexWriter.Finish(numDocs, vectorsStream.GetFilePointer());CodecUtil.WriteFooter(vectorsStream);}","""Wrote """
51,java,expression_statement,"public boolean isIndexTerm(BytesRef term, TermStats stats) {if (count >= interval) {count = 1;return true;} else {count++;return false;}}","public boolean isIndexTerm(BytesRef term, TermStats stats) {if (count >= interval) {<MASKED>return true;} else {count++;return false;}}",count = 1;
52,c#,expression_statement,"public override bool IsIndexTerm(BytesRef term, TermStats stats){if (count >= interval){count = 1;return true;}else{count++;return false;}}","public override bool IsIndexTerm(BytesRef term, TermStats stats){if (count >= interval){count = 1;return true;}else{<MASKED>return false;}}",count++;
53,java,expression_statement,public AssociateDhcpOptionsResult associateDhcpOptions(AssociateDhcpOptionsRequest request) {request = beforeClientExecution(request);return executeAssociateDhcpOptions(request);},public AssociateDhcpOptionsResult associateDhcpOptions(AssociateDhcpOptionsRequest request) {<MASKED>return executeAssociateDhcpOptions(request);},request = beforeClientExecution(request);
54,c#,expression_statement,"public virtual AssociateDhcpOptionsResponse AssociateDhcpOptions(AssociateDhcpOptionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = AssociateDhcpOptionsRequestMarshaller.Instance;options.ResponseUnmarshaller = AssociateDhcpOptionsResponseUnmarshaller.Instance;return Invoke<AssociateDhcpOptionsResponse>(request, options);}","public virtual AssociateDhcpOptionsResponse AssociateDhcpOptions(AssociateDhcpOptionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = AssociateDhcpOptionsRequestMarshaller.Instance;<MASKED>return Invoke<AssociateDhcpOptionsResponse>(request, options);}",options.ResponseUnmarshaller = AssociateDhcpOptionsResponseUnmarshaller.Instance;
55,java,expression_statement,public void disconnect() {if (sock.isConnected())sock.disconnect();},public void disconnect() {if (sock.isConnected())<MASKED>},sock.disconnect();
56,c#,expression_statement,public virtual void Disconnect(){if (sock.IsConnected()){sock.Disconnect();}},public virtual void Disconnect(){if (sock.IsConnected()){<MASKED>}},sock.Disconnect();
57,java,expression_statement,"public PredictionContext add(PredictionContext ctx) {if ( ctx==PredictionContext.EMPTY ) return PredictionContext.EMPTY;PredictionContext existing = cache.get(ctx);if ( existing!=null ) {return existing;}cache.put(ctx, ctx);return ctx;}",public PredictionContext add(PredictionContext ctx) {if ( ctx==PredictionContext.EMPTY ) return PredictionContext.EMPTY;PredictionContext existing = cache.get(ctx);if ( existing!=null ) {return existing;}<MASKED>return ctx;},"cache.put(ctx, ctx);"
58,c#,expression_statement,"public PredictionContext Add(PredictionContext ctx){if (ctx == PredictionContext.EMPTY)return PredictionContext.EMPTY;PredictionContext existing = cache.Get(ctx);if (existing != null){return existing;}cache.Put(ctx, ctx);return ctx;}",public PredictionContext Add(PredictionContext ctx){if (ctx == PredictionContext.EMPTY)return PredictionContext.EMPTY;PredictionContext existing = cache.Get(ctx);if (existing != null){return existing;}<MASKED>return ctx;},"cache.Put(ctx, ctx);"
59,java,expression_statement,public UploadLayerPartResult uploadLayerPart(UploadLayerPartRequest request) {request = beforeClientExecution(request);return executeUploadLayerPart(request);},public UploadLayerPartResult uploadLayerPart(UploadLayerPartRequest request) {<MASKED>return executeUploadLayerPart(request);},request = beforeClientExecution(request);
60,c#,expression_statement,"public virtual UploadLayerPartResponse UploadLayerPart(UploadLayerPartRequest request){var options = new InvokeOptions();options.RequestMarshaller = UploadLayerPartRequestMarshaller.Instance;options.ResponseUnmarshaller = UploadLayerPartResponseUnmarshaller.Instance;return Invoke<UploadLayerPartResponse>(request, options);}","public virtual UploadLayerPartResponse UploadLayerPart(UploadLayerPartRequest request){var options = new InvokeOptions();options.RequestMarshaller = UploadLayerPartRequestMarshaller.Instance;<MASKED>return Invoke<UploadLayerPartResponse>(request, options);}",options.ResponseUnmarshaller = UploadLayerPartResponseUnmarshaller.Instance;
61,java,string_literal,"public char setIndex(int position) {if (position < getBeginIndex() || position > getEndIndex())throw new IllegalArgumentException(""Illegal Position: "" + position);index = start + position;return current();}",public char setIndex(int position) {if (position < getBeginIndex() || position > getEndIndex())throw new IllegalArgumentException(<MASKED> + position);index = start + position;return current();},"""Illegal Position: """
62,c#,string_literal,"public override char SetIndex(int position){if (position < BeginIndex || position > EndIndex)throw new ArgumentException(""Illegal Position: "" + position);index = start + position;return Current;}",public override char SetIndex(int position){if (position < BeginIndex || position > EndIndex)throw new ArgumentException(<MASKED> + position);index = start + position;return Current;},"""Illegal Position: """
63,java,expression_statement,public GetPhoneNumberOrderResult getPhoneNumberOrder(GetPhoneNumberOrderRequest request) {request = beforeClientExecution(request);return executeGetPhoneNumberOrder(request);},public GetPhoneNumberOrderResult getPhoneNumberOrder(GetPhoneNumberOrderRequest request) {<MASKED>return executeGetPhoneNumberOrder(request);},request = beforeClientExecution(request);
64,c#,expression_statement,"public virtual GetPhoneNumberOrderResponse GetPhoneNumberOrder(GetPhoneNumberOrderRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetPhoneNumberOrderRequestMarshaller.Instance;options.ResponseUnmarshaller = GetPhoneNumberOrderResponseUnmarshaller.Instance;return Invoke<GetPhoneNumberOrderResponse>(request, options);}","public virtual GetPhoneNumberOrderResponse GetPhoneNumberOrder(GetPhoneNumberOrderRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = GetPhoneNumberOrderResponseUnmarshaller.Instance;return Invoke<GetPhoneNumberOrderResponse>(request, options);}",options.RequestMarshaller = GetPhoneNumberOrderRequestMarshaller.Instance;
65,java,expression_statement,"public EpsilonTransition(ATNState target, int outermostPrecedenceReturn) {super(target);this.outermostPrecedenceReturn = outermostPrecedenceReturn;}","public EpsilonTransition(ATNState target, int outermostPrecedenceReturn) {super(target);<MASKED>}",this.outermostPrecedenceReturn = outermostPrecedenceReturn;
66,c#,expression_statement,"public EpsilonTransition(ATNState target, int outermostPrecedenceReturn): base(target){this.outermostPrecedenceReturn = outermostPrecedenceReturn;}","public EpsilonTransition(ATNState target, int outermostPrecedenceReturn): base(target){<MASKED>}",this.outermostPrecedenceReturn = outermostPrecedenceReturn;
67,java,expression_statement,public DiffCommand setContextLines(int contextLines) {this.contextLines = contextLines;return this;},public DiffCommand setContextLines(int contextLines) {<MASKED>return this;},this.contextLines = contextLines;
68,c#,expression_statement,public virtual NGit.Api.DiffCommand SetContextLines(int contextLines){this.contextLines = contextLines;return this;},public virtual NGit.Api.DiffCommand SetContextLines(int contextLines){<MASKED>return this;},this.contextLines = contextLines;
69,java,expression_statement,public RejectVpcPeeringConnectionResult rejectVpcPeeringConnection(RejectVpcPeeringConnectionRequest request) {request = beforeClientExecution(request);return executeRejectVpcPeeringConnection(request);},public RejectVpcPeeringConnectionResult rejectVpcPeeringConnection(RejectVpcPeeringConnectionRequest request) {<MASKED>return executeRejectVpcPeeringConnection(request);},request = beforeClientExecution(request);
70,c#,expression_statement,"public virtual RejectVpcPeeringConnectionResponse RejectVpcPeeringConnection(RejectVpcPeeringConnectionRequest request){var options = new InvokeOptions();options.RequestMarshaller = RejectVpcPeeringConnectionRequestMarshaller.Instance;options.ResponseUnmarshaller = RejectVpcPeeringConnectionResponseUnmarshaller.Instance;return Invoke<RejectVpcPeeringConnectionResponse>(request, options);}","public virtual RejectVpcPeeringConnectionResponse RejectVpcPeeringConnection(RejectVpcPeeringConnectionRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = RejectVpcPeeringConnectionResponseUnmarshaller.Instance;return Invoke<RejectVpcPeeringConnectionResponse>(request, options);}",options.RequestMarshaller = RejectVpcPeeringConnectionRequestMarshaller.Instance;
71,java,string_literal,"public static void main(String[] args) throws IOException {if (args.length<1) {System.err.println(""Usage: java QualityQueriesFinder <index-dir>"");System.exit(1);}QualityQueriesFinder qqf = new QualityQueriesFinder(FSDirectory.open(Paths.get(args[0])));String q[] = qqf.bestQueries(""body"",20);for (int i=0; i<q.length; i++) {System.out.println(newline+formatQueryAsTrecTopic(i,q[i],null,null));}}","public static void main(String[] args) throws IOException {if (args.length<1) {System.err.println(<MASKED>);System.exit(1);}QualityQueriesFinder qqf = new QualityQueriesFinder(FSDirectory.open(Paths.get(args[0])));String q[] = qqf.bestQueries(""body"",20);for (int i=0; i<q.length; i++) {System.out.println(newline+formatQueryAsTrecTopic(i,q[i],null,null));}}","""Usage: java QualityQueriesFinder <index-dir>"""
72,c#,string_literal,"public static void Main(string[] args){if (args.Length < 1){throw new ArgumentException();}QualityQueriesFinder qqf = new QualityQueriesFinder(FSDirectory.Open(new DirectoryInfo(args[0])));string[] q = qqf.BestQueries(""body"", 20);for (int i = 0; i < q.Length; i++){Console.WriteLine(newline + FormatQueryAsTrecTopic(i, q[i], null, null));}}","public static void Main(string[] args){if (args.Length < 1){throw new ArgumentException();}QualityQueriesFinder qqf = new QualityQueriesFinder(FSDirectory.Open(new DirectoryInfo(args[0])));string[] q = qqf.BestQueries(<MASKED>, 20);for (int i = 0; i < q.Length; i++){Console.WriteLine(newline + FormatQueryAsTrecTopic(i, q[i], null, null));}}","""body"""
73,java,expression_statement,"public CharsRef(char[] chars, int offset, int length) {this.chars = chars;this.offset = offset;this.length = length;assert isValid();}","public CharsRef(char[] chars, int offset, int length) {this.chars = chars;<MASKED>this.length = length;assert isValid();}",this.offset = offset;
74,c#,expression_statement,"public CharsRef(char[] chars, int offset, int length){this.chars = chars;this.Offset = offset;this.Length = length;Debug.Assert(IsValid());}","public CharsRef(char[] chars, int offset, int length){this.chars = chars;this.Offset = offset;this.Length = length;<MASKED>}",Debug.Assert(IsValid());
75,java,expression_statement,public UpdateIPSetResult updateIPSet(UpdateIPSetRequest request) {request = beforeClientExecution(request);return executeUpdateIPSet(request);},public UpdateIPSetResult updateIPSet(UpdateIPSetRequest request) {<MASKED>return executeUpdateIPSet(request);},request = beforeClientExecution(request);
